Entidad,Quintil,Año,Hombres,Mujeres,%_Hombres_quintil,%_Mujeres_quintil,%_hombres_sexo,%_mujeres_sexo,,,,,,,,,,
Chiapas,V,2016,243451,78144,32.7,19.3,75.7,24.3,,,,,,,,,,
Chihuahua,V,2016,56977,24314,31.2,19.7,70.1,29.9,,,,,,,,,,
Coahuila De Zaragoza,V,2016,97111,66746,8.4,10.0,59.3,40.7,,,,,,,,,,
Colima,V,2016,293259,124605,31.5,21.2,70.2,29.8,,,,,,,,,,
Distrito Federal,V,2016,893441,602563,40.4,34.7,59.7,40.3,,,,,,,,,,
Durango,V,2016,99736,41621,24.1,17.2,70.6,29.4,,,,,,,,,,
Guanajuato,V,2016,337951,149155,23.6,16.1,69.4,30.6,,,,,,,,,,
Guerrero,V,2016,102374,56884,13.3,12.3,64.3,35.7,,,,,,,,,,
Hidalgo,V,2016,96302,40160,13.8,9.4,70.6,29.4,,,,,,,,,,
Jalisco,V,2016,635736,297944,32.1,21.2,68.1,31.9,,,,,,,,,,
Mexico,V,2016,1088872,432624,26.3,17.0,71.6,28.4,,,,,,,,,,
Michoacan de Ocampo,V,2016,180213,79309,16.5,12.3,69.4,30.6,,,,,,,,,,
Morelos,V,2016,89573,49430,19.6,15.8,64.4,35.6,,,,,,,,,,
Nayarit,V,2016,75623,31818,26.1,16.8,70.4,29.6,,,,,,,,,,
Nuevo Leon,V,2016,622404,214580,46.7,27.9,74.4,25.6,,,,,,,,,,
Oaxaca,V,2016,113575,58308,12.8,12.3,66.1,33.9,,,,,,,,,,
Puebla,V,2016,223202,112373,15.1,11.9,66.5,33.5,,,,,,,,,,
Queretaro de Arteaga,V,2016,165767,74870,33.0,22.6,68.9,31.1,,,,,,,,,,
Quintana Roo,V,2016,160432,73296,36.8,28.1,68.6,31.4,,,,,,,,,,
San Luis Potosi,V,2016,144293,68746,21.7,17.1,67.7,32.3,,,,,,,,,,
Sinaloa,V,2016,216161,96882,29.5,22.8,69.1,30.9,,,,,,,,,,
Sonora,V,2016,254341,92366,34.4,20.6,73.4,26.6,,,,,,,,,,
Tabasco,V,2016,121608,49384,21.1,16.5,71.1,28.9,,,,,,,,,,
Tamaulipas,V,2016,247213,109187,28.5,19.8,69.4,30.6,,,,,,,,,,
Tlaxcala,V,2016,49582,21174,15.7,11.0,70.1,29.9,,,,,,,,,,
Veracruz-Llave,V,2016,298591,149455,15.9,14.6,66.6,33.4,,,,,,,,,,
Yucatan,V,2016,101782,44190,18.8,12.6,69.7,30.3,,,,,,,,,,
Zacatecas,V,2016,64688,32647,18.2,16.9,66.5,33.5,,,,,,,,,,
Nacional,I,2018,3590139,5162565,10.7,22.8,41.0,59.0,,,,,,,,,,
Aguascalientes,I,2018,29076,43760,7.9,17.4,39.9,60.1,,,,,,,,,,
Baja California,I,2018,33536,44960,3.3,6.9,42.7,57.3,,,,,,,,,,
Baja California Sur,I,2018,8901,14769,3.5,10.0,37.6,62.4,,,,,,,,,,
Campeche,I,2018,38272,64101,14.8,35.7,37.4,62.6,,,,,,,,,,
Chiapas,I,2018,41049,66482,5.0,13.3,38.2,61.8,,,,,,,,,,
Chihuahua,I,2018,17680,27258,8.3,17.1,39.3,60.7,,,,,,,,,,
Coahuila De Zaragoza,I,2018,405162,573709,28.8,57.6,41.4,58.6,,,,,,,,,,
Colima,I,2018,47689,61092,4.7,9.2,43.8,56.2,,,,,,,,,,
Distrito Federal,I,2018,62369,112871,2.7,6.3,35.6,64.4,,,,,,,,,,
Durango,I,2018,39728,49923,8.7,18.3,44.3,55.7,,,,,,,,,,
Guanajuato,I,2018,135936,187539,8.6,17.6,42.0,58.0,,,,,,,,,,
Guerrero,I,2018,271975,299323,29.6,44.3,47.6,52.4,,,,,,,,,,
Hidalgo,I,2018,117435,201736,14.4,33.8,36.8,63.2,,,,,,,,,,
Jalisco,I,2018,175916,282812,7.8,17.5,38.3,61.7,,,,,,,,,,
Mexico,I,2018,288303,505269,6.0,16.2,36.3,63.7,,,,,,,,,,
Michoacan de Ocampo,I,2018,139914,237890,10.9,28.8,37.0,63.0,,,,,,,,,,
